,Date,Pitcher,IP,Hits,ER,Walks,Strike Outs,W,L,Saves,Holds,Points
988,AUGUST 18,Emmanuel Clase,1.0,0,0,0,0,0,0,1,0,8.0
989,AUGUST 18,Jhoan Duran,1.0,1,0,0,3,0,0,0,0,5.0
990,AUGUST 18,Carlos Estevez,1.2,4,2,0,2,0,1,0,0,-3.0
992,AUGUST 18,Kyle Gibson,5.0,9,4,0,6,1,0,0,0,6.0
997,AUGUST 19,Zach Eflin,6.0,4,1,1,4,1,0,0,0,17.0
1003,AUGUST 20,Jhoan Duran,1.0,1,0,0,2,0,0,1,0,9.0
1007,AUGUST 20,Kenley Jansen,1.0,1,0,0,2,0,0,1,0,9.0
1016,AUGUST 22,Emmanuel Clase,1.0,1,0,0,1,0,0,0,0,3.0
1019,AUGUST 22,Graham Ashcraft,7.0,5,3,2,10,1,0,0,0,20.0
1020,AUGUST 22,Yusei Kikuchi,4.2,7,3,1,6,0,0,0,0,6.0
1024,AUGUST 23,Jhoan Duran,1.2,2,0,1,1,0,1,0,0,1.0
1027,AUGUST 23,Kenley Jansen,0.1,0,0,0,0,0,0,0,0,1.0
1028,AUGUST 23,MacKenzie Gore,4.0,4,2,1,4,0,1,0,0,5.0
1034,AUGUST 24,Kyle Gibson,8.0,6,3,1,8,1,0,0,0,21.0
1036,AUGUST 25,Spencer Strider,7.0,3,1,1,9,1,0,0,0,26.0
1037,AUGUST 25,Emmanuel Clase,1.0,0,0,0,1,0,0,1,0,9.0
1039,AUGUST 25,Zach Eflin,6.0,7,2,1,11,0,1,0,0,15.0
